Date;Hour;Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);D.vien (grados);V.vien (m/s)
05/08/2017;14:00;2,77;6,34;4,38;335;2,13
05/08/2017;13:00;3,39;13,23;6,49;329;2,97
05/08/2017;12:00;5,57;24,54;12,58;325;3,23
05/08/2017;11:00;4,79;11,75;7,96;323;3,32
05/08/2017;10:00;1,99;2,14;1,77;326;4,14
05/08/2017;09:00;1,45;1,71;1,22;327;2,36
05/08/2017;08:00;1,43;1,54;1,19;330;1,04
05/08/2017;07:00;0,9;1,2;0,68;332;1,37
05/08/2017;06:00;1,08;1,4;1,01;339;0,64
05/08/2017;05:00;0,75;1,13;0,7;339;0,62
05/08/2017;04:00;0,59;1,15;0,67;9;0,57
05/08/2017;03:00;0,55;1,19;0,76;13;0,52
05/08/2017;02:00;0,6;1,29;0,75;57;0,13
05/08/2017;01:00;0,75;1,5;0,94;6;0,14
04/08/2017;24:00
04/08/2017;23:00;1,26;1,97;1,54;325;0,97
04/08/2017;22:00;0,77;1,61;1;322;0,66
04/08/2017;21:00;0,78;1,64;1,26;323;0,28
04/08/2017;20:00;1,01;1,83;1,38;263;0,33
04/08/2017;19:00;1,25;1,86;1,31;352;0,79
04/08/2017;18:00;0,87;1,93;1,06;357;1,17
04/08/2017;17:00;1,3;2,68;1,42;346;1,47
04/08/2017;16:00;1,16;5,78;2,09;335;2,22
04/08/2017;15:00;1,73;14,03;6,3;337;1,83
04/08/2017;14:00;2,17;3,95;2,7;328;2,49
04/08/2017;13:00;1,97;3,31;2,37;324;3,14
04/08/2017;12:00;1,68;2,1;2,32;329;2,49
04/08/2017;11:00;0,92;2,19;1,79;326;1,39
04/08/2017;10:00;0,97;2,39;2,05;267;0,35
04/08/2017;09:00;2,03;4,64;5,01;312;0,09
04/08/2017;08:00;0,85;2,03;2,3;131;0,2
04/08/2017;07:00;0,66;1,47;1,79;130;0,27
04/08/2017;06:00;0,6;1,12;1,26;150;0,41
04/08/2017;05:00;0,48;0,9;0,77;159;0,41
04/08/2017;04:00;0,46;0,86;1,3;193;0,43
04/08/2017;03:00;0,74;1,18;1,23;163;0,42
04/08/2017;02:00;0,45;0,87;0,93;163;0,29
04/08/2017;01:00;0,5;1,04;0,9;142;0,45
03/08/2017;24:00
03/08/2017;23:00;0,41;0,7;0,64;142;0,43
03/08/2017;22:00;0,47;1,26;0,86;156;0,34
03/08/2017;21:00;0,5;1,28;0,58;143;0,31
03/08/2017;20:00;0,84;1,86;0,86;355;0,35
03/08/2017;19:00;1,19;3,74;1,69;334;1,77
03/08/2017;18:00;1,18;8,25;3,16;330;2,74
03/08/2017;17:00;1,14;21,67;8,3;326;2,97
03/08/2017;16:00;1,75;12,55;5,98;327;2,69
03/08/2017;15:00;1,73;3,23;2,1;325;2,62
03/08/2017;14:00;2,13;4,37;3,18;326;2,84
03/08/2017;13:00;3,28;5,41;4,61;325;3,03
03/08/2017;12:00;4,46;7,03;7,44;325;3,23
03/08/2017;11:00;5,4;7,3;5,89;324;2,21
03/08/2017;10:00;1,63;4,13;4,11;332;1,08
03/08/2017;09:00;0,74;2,42;3,32;157;0,19
03/08/2017;08:00;0,87;4,02;4,79;219;0,21
03/08/2017;07:00;1,16;5;6,34;120;0,32
03/08/2017;06:00;0,82;2,23;3,76;119;0,42
03/08/2017;05:00;0,74;2,26;3,74;113;0,3
03/08/2017;04:00;0,81;2,68;4,05;130;0,43
03/08/2017;03:00;0,81;2,4;3,96;124;0,43
03/08/2017;02:00;0,72;2,14;3,19;132;0,46
03/08/2017;01:00;0,73;1,67;2,16;136;0,45
02/08/2017;24:00
02/08/2017;23:00;0,77;1,83;2,74;137;0,47
02/08/2017;22:00;0,77;1,73;1,82;135;0,54
02/08/2017;21:00;0,84;1,86;1,69;141;0,43
02/08/2017;20:00;0,58;1,67;1,59;217;0,18
02/08/2017;19:00;0,66;2,82;2,5;348;0,09
02/08/2017;18:00;1,03;9,61;2,96;5;0,52
02/08/2017;17:00;1,09;24,8;8,21;331;1,63
02/08/2017;16:00;1,02;4,91;3,09;323;2,6
02/08/2017;15:00;1,14;1,61;1,21;327;2,69
02/08/2017;14:00;1,46;2,59;2,07;324;2,95
02/08/2017;13:00;2,13;4,27;2,74;322;3,52
02/08/2017;12:00;1,88;2,4;2,3;324;3,01
02/08/2017;11:00;1,25;1,82;2,32;325;2,57
02/08/2017;10:00;1,23;1,97;2,75;332;1,43
02/08/2017;09:00;1,47;2,7;2,35;345;0,53
02/08/2017;08:00;1,5;3,15;4,27;297;0,56
02/08/2017;07:00;0,94;2,87;4,41;48;0,16
02/08/2017;06:00;0,76;2,31;3,77;120;0,38
02/08/2017;05:00;0,52;1,37;2,2;134;0,41
02/08/2017;04:00;0,39;0,89;1,57;142;0,41
02/08/2017;03:00;0,49;1,39;2,54;139;0,45
02/08/2017;02:00;0,47;1,17;2,21;139;0,4
02/08/2017;01:00;0,42;1,08;2,1;137;0,44
01/08/2017;24:00
01/08/2017;23:00;0,44;1,06;5,32;140;0,47
01/08/2017;22:00;0,46;0,94;5,9;147;0,39
01/08/2017;21:00;0,52;1,03;9,3;142;0,34
01/08/2017;20:00;0,45;0,7;1,66;90;0,32
01/08/2017;19:00;0,45;0,54;0,46;42;0,35
01/08/2017;18:00;0,59;0,69;0,55;7;1,73
01/08/2017;17:00;0,72;0,84;0,59;4;2,06
01/08/2017;16:00;1,15;1,18;0,95;19;1,32
01/08/2017;15:00;0,69;1,18;0,84;339;1,78
01/08/2017;14:00;1,59;2,48;1,74;9;1,5
01/08/2017;13:00;1,28;2,14;1,9;330;1,16
01/08/2017;12:00;1,45;3,05;2,71;323;0,57
01/08/2017;11:00;0,8;4,29;3,82;300;0,38
01/08/2017;10:00;2,13;9,16;8,32;260;0,37
01/08/2017;09:00;0,76;1,2;1,6;333;0,16
01/08/2017;08:00;0,63;0,98;1,31;218;0,23
01/08/2017;07:00;0,56;0,93;1,01;139;0,23
01/08/2017;06:00;0,68;1;1,17;205;0,37
01/08/2017;05:00;0,87;1,22;1,74;162;0,34
01/08/2017;04:00;0,52;0,81;1,24;179;0,26
01/08/2017;03:00;0,46;0,77;1,06;149;0,34
01/08/2017;02:00;0,48;0,64;0,89;143;0,27
01/08/2017;01:00;0,46;0,7;0,75;130;0,32
31/07/2017;24:00
31/07/2017;23:00;0,66;0,88;1,11;160;0,31
31/07/2017;22:00;0,55;0,65;0,96;147;0,25
31/07/2017;21:00;0,48;0,57;0,71;315;0,12
31/07/2017;20:00;0,47;0,48;0,57;183;0,33
31/07/2017;19:00;0,43;0,48;0,48;139;0,23
31/07/2017;18:00;0,47;0,49;0,47;42;0,4
31/07/2017;17:00;0,77;0,79;0,77;41;0,27
31/07/2017;16:00;1,05;0,93;1,25;326;0,36
31/07/2017;15:00;0,69;0,57;0,56;347;0,44
31/07/2017;14:00;0,73;0,68;0,61;353;1,08
31/07/2017;13:00;1,22;1,27;1,02;330;0,44
31/07/2017;12:00;1,3;1,23;1,04;331;0,65
31/07/2017;11:00;1,33;1,16;1,14;326;0,64
31/07/2017;10:00;1,21;1,14;1,14;326;0,54
31/07/2017;09:00;1,1;1,1;1,39;323;0,49
31/07/2017;08:00;0,89;0,76;0,95;304;0,24
31/07/2017;07:00;0,72;0,71;0,79;105;0,32
31/07/2017;06:00;0,95;1,06;1,54;143;0,28
31/07/2017;05:00;0,95;1,04;1,54;142;0,25
31/07/2017;04:00;1,09;1,01;1,35;127;0,35
31/07/2017;03:00;0,73;0,83;1,11;152;0,36
31/07/2017;02:00;0,46;0,65;0,88;134;0,4
31/07/2017;01:00;0,46;0,72;0,93;141;0,4
30/07/2017;24:00
30/07/2017;23:00;0,52;0,58;0,63;149;0,4
30/07/2017;22:00;0,42;0,62;0,49;148;0,41
30/07/2017;21:00;0,55;0,81;0,9;143;0,45
30/07/2017;20:00;0,44;0,61;0,55;163;0,33
30/07/2017;19:00;0,55;0,91;0,56;148;0,36
30/07/2017;18:00;2,09;2,2;1,92;167;0,27
30/07/2017;17:00;1,31;1,04;1,22;330;2,21
30/07/2017;16:00;0,85;0,7;0,7;334;1,08
30/07/2017;15:00;0,85;0,96;0,82;321;0,2
30/07/2017;14:00;1,53;1,73;1,29;318;0,54
30/07/2017;13:00;1,61;1,85;1,49;326;2,35
30/07/2017;12:00;0,95;1,06;0,99;328;1,42
30/07/2017;11:00;0,5;0,82;0,75;350;0,58
30/07/2017;10:00;0,56;1,01;1,2;29;0,28
30/07/2017;09:00;0,62;1,98;4;41;0,28
30/07/2017;08:00;0,64;1,57;1,84;43;0,3
30/07/2017;07:00;2,8;4,16;3,7;23;0,31
30/07/2017;06:00;1,87;3,49;2,97;25;0,31
30/07/2017;05:00;2,1;5,51;3,78;102;0,27
30/07/2017;04:00;3,2;6,71;4,53;137;0,42
30/07/2017;03:00;1,07;3,85;1,92;146;0,24
30/07/2017;02:00;1,08;4,19;2,41;138;0,45
30/07/2017;01:00;1,25;4,31;2,39;138;0,41
29/07/2017;24:00
29/07/2017;23:00;0,65;2,75;1,52;127;0,34
29/07/2017;22:00;1,04;2,38;2;151;0,38
29/07/2017;21:00;1,11;2,19;2,35;88;0,19
29/07/2017;20:00;0,65;1,01;0,92;118;0,36
29/07/2017;19:00;0,44;0,95;0,71;4;0,57
29/07/2017;18:00;0,48;0,9;0,59;13;1,83
29/07/2017;17:00;0,89;1,15;0,79;7;2,2
29/07/2017;16:00;0,87;1,65;1,21;5;2,06
29/07/2017;15:00;2,97;3,59;2,97;8;1,73
29/07/2017;14:00;3,8;4,02;3,44;333;2,37
29/07/2017;13:00;3,58;3,81;3,38;325;3
29/07/2017;12:00;1,46;1,94;2;326;2,86
29/07/2017;11:00;0,91;1,89;2,35;69;0,27
29/07/2017;10:00;1,26;2,48;3,56;99;0,33
29/07/2017;09:00;2,43;3,05;4,7;72;0,36
29/07/2017;08:00;2,25;3,86;4,36;92;0,34
29/07/2017;07:00;1;4,08;6,07;99;0,44
29/07/2017;06:00;0,82;3,33;4,68;130;0,45
29/07/2017;05:00;0,92;3,41;4,79;123;0,45
29/07/2017;04:00;0,79;2,84;4,64;124;0,49
29/07/2017;03:00;0,74;1,99;4,04;130;0,44
29/07/2017;02:00;0,55;1,3;2,61;136;0,43
29/07/2017;01:00;0,73;1,64;1,82;140;0,45
28/07/2017;24:00
28/07/2017;23:00;1,42;5,54;5,9;140;0,47
28/07/2017;22:00;0,95;2,27;2,59;138;0,45
28/07/2017;21:00;0,51;0,98;0,89;144;0,43
28/07/2017;20:00;0,46;0,78;0,47;219;0,36
28/07/2017;19:00;0,48;0,85;0,51;2;0,28
28/07/2017;18:00;0,65;1,16;0,73;10;0,33
28/07/2017;17:00;1,25;1,65;1,19;345;0,72
28/07/2017;16:00;1,72;2,23;1,89;325;2,53
28/07/2017;15:00;0,59;0,95;0,89;327;2,1
28/07/2017;14:00;0,51;0,98;0,96;28;1,46
28/07/2017;13:00;0,68;1,21;1,04;23;0,6
28/07/2017;12:00;1,33;2,22;2,29;27;0,47
28/07/2017;11:00;0,56;2,18;2,36;309;0,14
28/07/2017;10:00;0,57;2,16;2,4;127;0,5
28/07/2017;09:00;0,73;2,63;3,84;108;0,52
28/07/2017;08:00;0,63;2;2,61;87;0,39
28/07/2017;07:00;0,91;1,17;2,08;94;0,41
28/07/2017;06:00;0,69;0,69;1;142;0,42
28/07/2017;05:00;0,48;0,61;0,44;149;0,37
28/07/2017;04:00;0,47;0,59;0,35;160;0,38
28/07/2017;03:00;0,51;0,66;0,44;298;0,13
28/07/2017;02:00;0,76;1,01;0,7;354;0,12
28/07/2017;01:00;1,42;1,9;1,39;343;0,27
27/07/2017;24:00;1,42;1,87;1,45;326;1,46
27/07/2017;23:00;0,81;0,58;0,53;330;1,3
27/07/2017;22:00;0,63;0,56;0,6;333;1,64
27/07/2017;21:00;0,81;0,98;0,62;341;0,56
27/07/2017;20:00;0,81;1,19;0,85;334;0,8
27/07/2017;19:00;0,89;1,3;1,11;338;0,91
27/07/2017;18:00;1,07;1,51;1,29;335;1,56
27/07/2017;17:00;1,41;2,66;2,7;331;2,33
27/07/2017;16:00;1,46;1,78;1,42;329;2,84
27/07/2017;15:00;1,87;2,1;1,7;328;2,75
27/07/2017;14:00;1,62;2,43;1,75;331;2,63
27/07/2017;13:00;1,86;3,97;3,22;331;2,72
27/07/2017;12:00;3,48;8,52;5,72;324;2,46
27/07/2017;11:00;3,27;8,34;6,81;326;2,28
27/07/2017;10:00;1,37;5,17;5,82;345;0,42
27/07/2017;09:00;1,18;5,35;6,34;56;0,29
27/07/2017;08:00;1,44;4,09;6,09;85;0,34
27/07/2017;07:00;1,96;5,7;7,71;106;0,39
27/07/2017;06:00;1,3;4,34;5,44;141;0,41
27/07/2017;05:00;1,23;3,87;6,48;150;0,44
27/07/2017;04:00;1,9;3,79;6,66;140;0,41
27/07/2017;03:00;1,17;3,32;4,9;128;0,39
27/07/2017;02:00;1,02;3;3,67;134;0,44
27/07/2017;01:00;0,96;2,91;3,29;137;0,46
26/07/2017;24:00;1,15;3,59;2,76;129;0,45
26/07/2017;23:00;1,12;4,24;2,44;132;0,39
26/07/2017;22:00;1,29;6,97;2,97;139;0,46
26/07/2017;21:00;1,61;13,77;4,14;151;0,35
26/07/2017;20:00
26/07/2017;19:00
26/07/2017;18:00
26/07/2017;17:00
26/07/2017;16:00
26/07/2017;15:00
26/07/2017;14:00;1,62;1,98;1,59;328;2,86
26/07/2017;13:00;1,68;2,18;1,86;323;3,21
26/07/2017;12:00;1,91;2,53;2,62;325;2,99
26/07/2017;11:00;0,85;2,49;2,42;317;2,55
26/07/2017;10:00;0,53;2,83;2,34;128;0,3
26/07/2017;09:00;0,71;1,52;2,11;105;0,36
26/07/2017;08:00;0,96;2,46;3,37;140;0,24
26/07/2017;07:00;0,81;0,99;1,75;121;0,3
26/07/2017;06:00;0,6;0,47;0,75;167;0,38
26/07/2017;05:00;0,58;0,34;0,39;161;0,4
26/07/2017;04:00;0,59;0,3;0,29;170;0,52
26/07/2017;03:00;0,62;0,36;0,34;184;0,61
26/07/2017;02:00;0,98;0,39;0,45;186;0,34
26/07/2017;01:00;0,85;0,41;0,47;203;0,34
25/07/2017;24:00;0,43;0,53;0,58;186;0,2
25/07/2017;23:00;0,4;0,53;0,67;154;0,42
25/07/2017;22:00;0,36;0,45;0,43;152;0,43
25/07/2017;21:00;0,74;0,72;0,66;209;0,36
25/07/2017;20:00;1,02;0,58;0,54;309;0,73
25/07/2017;19:00;1,02;0,71;0,5;328;2,39
25/07/2017;18:00;1,05;0,88;0,71;331;2,87
25/07/2017;17:00;1,08;0,96;0,61;328;3,34
25/07/2017;16:00;1,24;1,15;0,79;329;3,63
25/07/2017;15:00;1,23;1,29;0,94;328;3,24
25/07/2017;14:00;1,33;1,16;1,07;328;2,48
25/07/2017;13:00;0,96;0,62;0,76;298;0,91
25/07/2017;12:00;0,62;0,44;0,51;317;1,15
25/07/2017;11:00;0,35;0,46;0,46;274;1,81
25/07/2017;10:00;0,4;0,46;0,53;263;1,37
25/07/2017;09:00;0,5;0,51;0,73;272;1,23
25/07/2017;08:00;0,47;0,24;0,3;250;0,89
25/07/2017;07:00;0,46;0,2;0,23;242;0,95
25/07/2017;06:00;0,37;0,4;0,35;248;0,69
25/07/2017;05:00;0,34;0,35;0,26;200;0,31
25/07/2017;04:00;0,35;0,31;0,21;226;0,41
25/07/2017;03:00;0,41;0,31;0,21;241;1,02
25/07/2017;02:00;0,41;0,38;0,27;240;0,8
25/07/2017;01:00;0,28;0,22;0,21;242;0,63
24/07/2017;24:00;0,27;0,37;0,31;250;1,25
24/07/2017;23:00;0,3;0,54;0,38;261;1,01
24/07/2017;22:00;0,28;0,55;0,33;242;0,92
24/07/2017;21:00;0,32;0,59;0,51;231;0,64
24/07/2017;20:00;0,8;1,62;1,05;292;1,53
24/07/2017;19:00;1,38;2,63;1,58;307;0,87
24/07/2017;18:00;1,56;2,12;1,4;328;2,33
24/07/2017;17:00;1,76;3,64;2,09;324;3,41
24/07/2017;16:00;1,39;2,4;1,76;317;3,51
24/07/2017;15:00;1,66;3,54;2,3;315;2,3
24/07/2017;14:00;1,41;2,87;2,25;317;2,63
24/07/2017;13:00;1,23;2,55;1,96;303;2,37
24/07/2017;12:00;1,2;1,91;1,78;302;1,92
24/07/2017;11:00;1,05;1,24;1,42;298;1,91
24/07/2017;10:00;0,9;1,19;1,39;301;1,53
24/07/2017;09:00;0,45;0,91;0,91;295;1,44
24/07/2017;08:00;0,41;1,55;1,28;278;1,47
24/07/2017;07:00;0,78;2,61;3,02;270;1,81
24/07/2017;06:00;0,84;1,1;1,12;270;1,98
24/07/2017;05:00;0,58;0,88;0,92;289;2,17
24/07/2017;04:00;0,48;0,74;0,75;285;2,03
24/07/2017;03:00;0,42;0,53;0,52;273;1,49
24/07/2017;02:00;0,53;0,58;0,52;271;1,25
24/07/2017;01:00;0,47;0,62;0,62;260;1,02
23/07/2017;24:00;0,46;0,73;0,78;273;1,05
23/07/2017;23:00;0,37;0,44;0,48;278;0,89
23/07/2017;22:00;0,54;0,57;0,54;252;0,58
23/07/2017;21:00;0,53;0,54;0,5;169;0,29
23/07/2017;20:00;0,89;0,55;0,52;161;0,15
23/07/2017;19:00;0,85;0,5;0,47;328;1,33
23/07/2017;18:00;0,68;0,47;0,32;335;0,99
23/07/2017;17:00;0,75;0,64;0,48;332;1,86
23/07/2017;16:00;0,91;0,7;0,46;330;2,72
23/07/2017;15:00;1,39;1,02;0,68;324;3,52
23/07/2017;14:00;0,97;0,7;0,49;325;2,82
23/07/2017;13:00;1,08;0,84;0,68;328;2,35
23/07/2017;12:00;1,12;0,88;0,62;328;3,03
23/07/2017;11:00;0,56;0,39;0,42;333;2,66
23/07/2017;10:00;0,53;0,43;0,43;316;0,43
23/07/2017;09:00;0,44;0,45;0,62;296;0,35
23/07/2017;08:00;0,4;0,37;0,52;152;0,24
23/07/2017;07:00;0,32;0,43;0,6;204;0,44
23/07/2017;06:00;0,32;0,35;0,63;171;0,46
23/07/2017;05:00;0,27;0,26;0,4;156;0,35
23/07/2017;04:00;0,25;0,27;0,21;189;0,38
23/07/2017;03:00;0,27;0,25;0,21;222;0,74
23/07/2017;02:00;0,29;0,3;0,26;229;1,11
23/07/2017;01:00;0,33;0,38;0,35;209;0,51
22/07/2017;24:00;0,33;0,38;0,29;225;0,57
22/07/2017;23:00;0,38;0,34;0,32;224;0,83
22/07/2017;22:00;0,44;0,37;0,3;228;0,73
22/07/2017;21:00;0,45;0,41;0,44;231;0,67
22/07/2017;20:00;0,43;0,47;0,55;241;0,72
22/07/2017;19:00;0,73;0,87;0,91;244;0,66
22/07/2017;18:00;1,27;1,57;1,5;294;0,91
22/07/2017;17:00;1,81;1,61;1,55;318;2,15
22/07/2017;16:00;1,57;1,13;1,13;328;3,65
22/07/2017;15:00;1,23;0,91;0,68;328;4,15
22/07/2017;14:00;1,16;0,9;0,7;328;4
22/07/2017;13:00;1,68;1,1;1,07;329;4,14
22/07/2017;12:00;0,73;0,84;1,34;326;3,92
22/07/2017;11:00;0,31;1,12;1,71;95;0,27
22/07/2017;10:00;0,47;1,08;1,84;122;0,46
22/07/2017;09:00;0,55;1,14;2,32;104;0,29
22/07/2017;08:00;0,61;1,23;2,62;94;0,36
22/07/2017;07:00;0,55;1,28;2,87;107;0,38
22/07/2017;06:00;0,55;1,3;3,02;110;0,46
22/07/2017;05:00;0,58;1,55;3,31;105;0,44
22/07/2017;04:00;0,67;1,81;3,55;110;0,43
22/07/2017;03:00;0,61;1,65;2,82;118;0,45
22/07/2017;02:00;0,73;1,87;3,22;119;0,45
22/07/2017;01:00;0,74;1,56;3,4;117;0,44
21/07/2017;24:00;0,59;1,1;1,67;129;0,45
21/07/2017;23:00;0,61;0,94;1,26;136;0,46
21/07/2017;22:00;0,69;1,01;1,48;138;0,44
21/07/2017;21:00;0,74;0,73;1,17;160;0,44
21/07/2017;20:00;0,67;0,57;0,74;146;0,42
21/07/2017;19:00;0,8;0,48;0,45;9;0,19
21/07/2017;18:00;0,8;0,67;0,57;336;0,58
21/07/2017;17:00;0,98;0,86;0,57;329;2,08
21/07/2017;16:00;0,78;0,62;0,51;327;3,11
21/07/2017;15:00;0,73;0,51;0,49;333;2,38
21/07/2017;14:00;0,76;0,64;0,75;337;1,87
21/07/2017;13:00;0,69;0,64;0,75;340;0,98
21/07/2017;12:00;0,69;0,69;0,58;342;0,77
21/07/2017;11:00;1,08;1;0,85;330;0,41
21/07/2017;10:00;0,68;0,69;0,73;332;0,74
21/07/2017;09:00;0,43;0,44;0,55;344;0,24
21/07/2017;08:00;0,38;0,44;0,58;340;0,03
21/07/2017;07:00;0,44;0,5;0,71;138;0,29
21/07/2017;06:00;0,5;0,54;0,81;168;0,32
21/07/2017;05:00;0,46;0,45;0,68;142;0,39
21/07/2017;04:00;0,42;0,39;0,53;108;0,21
21/07/2017;03:00;0,38;0,38;0,48;193;0,27
21/07/2017;02:00;0,39;0,47;0,54;183;0,38
21/07/2017;01:00;0,33;0,44;0,53;269;0,16
20/07/2017;24:00;0,36;0,54;0,63;174;0,36
20/07/2017;23:00;0,4;0,62;0,59;130;0,43
20/07/2017;22:00;0,49;0,68;0,99;146;0,44
20/07/2017;21:00;0,49;0,77;1,08;97;0,18
20/07/2017;20:00;1,81;1,09;1,3;357;0,39
20/07/2017;19:00;2,42;1,13;1,25;340;0,7
20/07/2017;18:00;1,01;1,04;0,94;343;0,56
20/07/2017;17:00;1,15;1;0,82;332;1,59
20/07/2017;16:00;0,94;0,72;0,58;335;1,74
20/07/2017;15:00;0,71;0,65;0,48;335;2,02
20/07/2017;14:00;0,66;0,57;0,48;336;1,76
20/07/2017;13:00;0,78;0,86;0,75;340;0,64
20/07/2017;12:00;1,22;1,42;1,44;320;1,16
20/07/2017;11:00;0,81;1,01;0,88;331;2,63
20/07/2017;10:00;0,86;1,45;1,08;292;0,47
20/07/2017;09:00;1,92;2,51;2;321;0,49
20/07/2017;08:00;1,68;1,41;1,63;322;1,61
20/07/2017;07:00;0,74;0,45;0,68;322;1,85
20/07/2017;06:00;0,39;0,25;0,36;233;0,21
20/07/2017;05:00;0,37;0,27;0,36;294;0,33
20/07/2017;04:00;0,21;0,24;0,29;220;0,41
20/07/2017;03:00;0,24;0,24;0,87;239;0,71
20/07/2017;02:00;0,28;0,41;0,52;250;0,28
20/07/2017;01:00;0,27;0,27;0,47;268;0,73
19/07/2017;24:00;0,16;0,07;0,28;259;0,67
19/07/2017;23:00;0,18;0,25;0,4;261;0,99
19/07/2017;22:00;0,26;0,38;0,48;262;0,8
19/07/2017;21:00;1,16;1,54;1,54;261;0,9
19/07/2017;20:00;1,05;0,99;0,84;312;1,83
19/07/2017;19:00;0,55;0,7;0,61;347;0,63
19/07/2017;18:00;0,78;0,81;0,78;33;0,77
19/07/2017;17:00;0,59;0,99;2,55;357;0,8
19/07/2017;16:00;1,19;1,23;1,38;38;1,03
19/07/2017;15:00;1,75;1,5;1,26;333;1,2
19/07/2017;14:00;1,41;1,74;1,21;326;1,77
19/07/2017;13:00;1,07;1,36;1,24;328;1,61
19/07/2017;12:00;0,6;1,17;1,69;2;1,2
19/07/2017;11:00;0,52;0,8;1,1;53;0,84
19/07/2017;10:00;0,55;0,68;0,66;126;0,77
19/07/2017;09:00;0,8;0,45;0,53;100;0,05
19/07/2017;08:00;0,49;0,63;0,83;340;0,51
19/07/2017;07:00;0,69;1,03;1,84;147;0,08
19/07/2017;06:00;0,47;0,49;0,75;175;0,37
19/07/2017;05:00;0,41;0,46;1,54;154;0,31
19/07/2017;04:00;0,41;0,43;0,74;150;0,28
19/07/2017;03:00;0,41;0,47;0,61;158;0,27
19/07/2017;02:00;0,44;0,54;0,85;151;0,25
19/07/2017;01:00;0,57;1,3;0,84;134;0,36
18/07/2017;24:00
18/07/2017;23:00
18/07/2017;22:00
18/07/2017;21:00
18/07/2017;20:00
18/07/2017;19:00
18/07/2017;18:00
18/07/2017;17:00
18/07/2017;16:00
18/07/2017;15:00
18/07/2017;14:00
18/07/2017;13:00;2,41;3,03;1,53;327;3,28
18/07/2017;12:00;2,77;2,88;1,75;324;3,1
18/07/2017;11:00;1,47;1,5;1,21;323;3,25
18/07/2017;10:00;0,37;0,5;0,52;181;1,9
18/07/2017;09:00;0,32;0,45;0,41;198;2,62
18/07/2017;08:00;0,39;0,56;0,59;185;3,55
18/07/2017;07:00;0,41;0,48;0,54;195;2,47
18/07/2017;06:00;0,35;0,56;0,52;191;2,51
18/07/2017;05:00;0,38;0,87;0,93;168;2,5
18/07/2017;04:00;0,63;1,68;2,8;148;2,3
18/07/2017;03:00;0,79;2,76;4,67;127;1,06
18/07/2017;02:00;0,79;2,91;5,11;116;0,35
18/07/2017;01:00;0,75;1,85;3,13;85;0,28
17/07/2017;24:00;0,68;1,38;2,2;104;0,48
17/07/2017;23:00;0,56;0,59;1,01;119;0,41
17/07/2017;22:00;0,68;0,47;0,71;123;0,42
17/07/2017;21:00;0,63;0,41;0,5;49;0,24
17/07/2017;20:00;1,51;0,86;1,23;344;0,63
17/07/2017;19:00;2,13;2,67;2,38;337;1,77
17/07/2017;18:00;1,96;2,26;1,63;326;2,84
17/07/2017;17:00;2,94;3,26;2,48;326;3,15
17/07/2017;16:00;4,8;6,24;4,41;326;2,77
17/07/2017;15:00;5,83;8,5;5,9;325;2,57
17/07/2017;14:00;5,06;10,19;6,63;328;2,17
17/07/2017;13:00;2,2;6,51;7,46;335;1,13
17/07/2017;12:00;0,9;7,87;13,77;117;0,87
17/07/2017;11:00;0,74;7,04;11,14;140;0,78
17/07/2017;10:00;0,76;5,81;8,43;104;0,98
17/07/2017;09:00;0,83;4,53;6,53;107;0,99
17/07/2017;08:00;1,06;5,65;6,74;95;0,44
17/07/2017;07:00;0,82;3,22;4,75;96;0,6
17/07/2017;06:00;1,3;3,31;4,69;107;0,44
17/07/2017;05:00;1,48;2,92;4,04;120;0,46
17/07/2017;04:00;1,67;2,26;3,54;121;0,42
17/07/2017;03:00;1,15;1,82;2,94;100;0,36
17/07/2017;02:00;1,34;1,68;2,56;128;0,45
17/07/2017;01:00;0,89;1,18;1,64;135;0,46
16/07/2017;24:00;0,72;1,1;1,25;135;0,44
16/07/2017;23:00;0,86;1,1;1,29;132;0,44
16/07/2017;22:00;0,83;0,94;1;135;0,45
16/07/2017;21:00;0,72;0,79;0,71;119;0,2
16/07/2017;20:00;1,2;1,02;1,06;321;0,34
16/07/2017;19:00;1,36;0,96;1,18;314;0,58
16/07/2017;18:00;1,66;1,2;1,24;330;1,44
16/07/2017;17:00;1,71;1,41;1,28;332;2,03
16/07/2017;16:00;2,09;1,77;1,75;330;2,51
16/07/2017;15:00;2,19;2,17;1,9;328;2,35
16/07/2017;14:00;2,16;1,57;1,6;329;2,38
16/07/2017;13:00;2,23;1,88;1,91;329;2,55
16/07/2017;12:00;1,97;1,85;1,68;328;2,58
16/07/2017;11:00;2,42;1,98;2,01;329;1,75
16/07/2017;10:00;0,57;1,55;1,72;334;1,13
16/07/2017;09:00;1,05;1,43;1,82;74;0,32
16/07/2017;08:00;2,63;2,26;3,71;7;0,24
16/07/2017;07:00;1,1;1,52;2,72;42;0,22
16/07/2017;06:00;0,84;1,53;2,66;113;0,36
16/07/2017;05:00;0,73;0,97;1,65;115;0,29
16/07/2017;04:00;0,62;1,16;1,87;128;0,36
16/07/2017;03:00;0,59;0,92;1,75;134;0,42
16/07/2017;02:00;0,4;0,56;0,99;129;0,45
16/07/2017;01:00;0,4;0,57;0,81;147;0,43
15/07/2017;24:00;0,48;0,67;1,05;144;0,4
15/07/2017;23:00;0,43;0,57;0,78;140;0,43
15/07/2017;22:00;0,42;0,35;0,47;123;0,44
