"Projekt ID";Název;Kategorie;"Souøadnice z. délky";"Souøadnice z. šíøky";Adresa;Web;Cena;Stav;Cíl1;Cíl2;Cíl3;Cíl4;Cíl5;Lokace;Od;Do;"Nositel projektu";Popis
;"Rekonstrukce ulice Milady Horákové";"Silnice a ulice";49.201356;16.614360;"Milady Horákové, Brno";;283908000;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;Brno-Sever;03/2014;06/2015;"Statutární mìsto Brno";"Rekonstrukce ulice Milady Horákové zahrnuje rekonstrukci vodovodu, kanalizace, komunikace, veøejného osvìtlení a tramvajové tratì.  Rekonstruovanı úsek zaèíná od køiovatky s ulicemi Kolištì, Pøíkop a Pøíèní a ke køíení s ulicí Èernopolní."
;"Rekonstrukce ulic Minská a Horova";"Silnice a ulice";49.211791;16.581423;"Minská, Brno";http://www.brno.cz/doprava/ulice-minska-horova/;263200000;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;abovøesky;06/2015;07/2016;"Statutární mìsto Brno";"Rekonstrukce zahrnuje opravu kanalizace, inenırskıch sítí, tramvajové trati, vozovek a chodníkù. Stavba bude realizována najednou a  dojde tedy k uzavírce v celém rozsahu. Rekonstruovanı úsek zaèíná v ul. Horova pøiblinì od è. or. 71 a konèí v ul. Minská mezi køiovatkami s ul. Mezníkova a Chládkova. V ul. Bráfova jde o úsek od køiovatky s ul. Horova po køiovatku s ul. Fanderlíkova."
;"Pøestavba parovodního systému zásobování tepelné energie na horkovodní systém";"Technická infrastruktura";49.188023;16.591596;"Rybáøská 802/4, 603 00 Brno-Staré Brno";;1500000000;"Pøíprava a realizace";"5.2. Zajistit komplexní hospodaøení s energiemi, s povrchovımi a odpadními vodami";;;;;Brno-Støed;2015;2022;"Teplárny Brno";"Pøestavba sníí náklady v odbìrnıch místech ve mìstì."
;"Odpadové hospodáøství Brno II";"Technická infrastruktura";49.194467;16.669306;"Jedovnická 4247/2, 628 00  Brno-idenice";;2000000000;"Pøíprava a realizace";"5.2. Zajistit komplexní hospodaøení s energiemi, s povrchovımi a odpadními vodami";;;;;Líšeò;2015;2022;SAKO;"Projekt bude mít pøínosy jak ekonomické, tak environmentální. Navíc bude mít pozitivní dopady do širšího zázemí mìsta."
;"Investice do ÈOV Modøice - rozšíøení ÈOV o 3. stupeò èištìní a dostavba kalového hospodáøství";"Technická infrastruktura";49.130607;16.631109;"Chrlická 552, 664 42 Modøice, okres Brno-venkov";;0;"Pøíprava a realizace";"5.2. Zajistit komplexní hospodaøení s energiemi, s povrchovımi a odpadními vodami";;;;;Brno-Jih;2015;2022;"Brnìnské vodárny a kanalizace, a.s.";"Systém èištìní odpadních vod je nutnou podmínkou rozvoje mìsta. Konkrétnì se jedná o zámìry projektù Investice do ÈOV Modøice - rozšíøení ÈOV o 3. stupeò èištìní a Investice do ÈOV Modøice - dostavba kalového hospodáøství."
;"Prodlouení trolejbusové tratì ze zastávky Novolíšeòská do zastávky Jírova";"Hromadná doprava";49.207654;16.686548;"Novolíšeòská, Brno-Líšeò, Jírova, Brno-mìsto";;56000000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;Líšeò;2015;2022;"Statutární mìsto Brno";"Zajištìní dopravní obslunosti rozvojového území trolejbusovou dopravou s vyuitím principu jejího rozšíøení v øešeném území (jako náhrada za stávající autobusovı systém)."
;"Terminál IDS Starı Lískovec";"Hromadná doprava";49.162516;16.571264;"Osová, Brno-Starı lískovec";;170000000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;"Starı Lískovec";2015;2022;"Statutární mìsto Brno";"Vybudování nového pøestupního terminálu IDS Starı Lískovec u eleznièní zastávky Starı Lískovec vèetnì prodlouení trolejbusové tratì z Osové."
;"Dopravní telematika";Doprava;49.1835303;16.6017794;"Renneská tøída 787/1a, 639 00 Brno-Štıøice";;150000000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;Brno-Støed;2015;2022;"Statutární mìsto Brno";"Øešení organizace dopravy umoòuje preferovat veøejnou dopravu a tím urychlit prùjezd veøejné dopravy mìstem."
;"Tramvajová tra Plotní";"Hromadná doprava";49.182049;16.620091;"Plotní, Brno-Støed, Brno-Jih";;2100000000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;Brno-Jih;2015;2022;"Statutární mìsto Brno";"Souèasná doba klade obrovské nároky na vıbornou dosaitelnost zamìstnání, slueb a vzdìlání. V tomto ohledu jsou projekty vıstavby (prodlouení) klíèovıch tramvajovıch tratí vysoce vıznamnım strategickım projektem pro celé Brno i jeho zázemí."
;"Prodlouení tramvajové trati Bystrc - Kamechy";"Hromadná doprava";49.217063;16.494746;"Pøírodní, Brno-ebìtín, Kamechy, Brno-Bystrc";;823000000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;Bystrc;2015;2022;"Statutární mìsto Brno";"Vıstavba obytného komplexu Kamechy probíhá nepøetritì od roku 2006, jeho celková kapacita po dokonèení je odhadována na 7000 obyvatel. V souèasné dobì je toto území spoleènì s horní èástí bystrckého sídlištì obsluhováno 2 autobusovımi linkami MHD, jejich èetnost je prùbìnì navyšována s postupnım nárùstem poètu rezidentù v oblasti. Prodloueni stávající tramvajové trati smyèky Eèerova na Kamechy pomùe øešit aktuální potøebu zkapacitnìní obsluhy lokality a poskytne dostateènì komfortní, kvalitní a rychlé dopravní napojeni této okrajové èásti mìsta Brna."
;"Prodlouení tramvajové trati z Osové ke kampusu MU v Bohunicích";"Hromadná doprava";49.1778006;16.5674956;"Kamenice 753/5, 625 00 Brno-Bohunice";;907800000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;Bohunice;2015;2022;"Statutární mìsto Brno";"V souvislosti s pokraèující vıstavbou Univerzitního kampusu MU Brno, chystanou vıstavbou studentskıch ubytovacích kapacit a spolu s rozšiøováním slueb FNsP Brno dochází postupnì k narùstání potøeby zkapacitnìní obsluhy pøedmìtného území mìstskou hromadnou dopravou. Zvıšeni poètu a èetnosti stávajících trolejbusovıch a autobusovıch linek není øešením ani z dùvodu kapacitní propustnosti komunikací, ani z hlediska dopadù na ivotní prostøedí. Jedinou alternativou je zavést do území kolejovou dopravu."
;"Stavební úpravy a pùdní vestavba bytového domu Bratislavská 39";"Vzhled mìsta a veøejná prostranství";49.1998178;16.6201908;"Bratislavská 39, 602 00 Brno-Zábrdovice";https://www.brno.cz/fileadmin/user_upload/sprava_mesta/magistrat_mesta_brna/OIEF/Projekty_realizace/Stavebni_upravy_Bratislavska_39_publicita.pdf;50422864;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;07/2013;01/2015;"Statutární mìsto Brno";"Projekt je souèástí Integrovaného plánu rozvoje mìsta, jeho hlavním cílem je zlepšení estetické a sociální stránky bydlení ve vymezené „problémové zónì“ mìsta Brna. Tato zóna se nachází na èásti území mìstskıch èástí Brno-Støed a Brno-Sever a zahrnuje èásti ulic Stará, Francouzská, Hvìzdova, Pøadlácká, Spolková, Cejl, Soudní, Körnerova a Bratislavská. Dispozièní øešení bytového domu se v podstatì nezmìnilo, v prostøedních bytech v 1. a 4. patøe byly rekonstruovány koupelny. Individuální vytápìní bylo zrušeno, všechny byty jsou nyní vytápìny centrálnì s napojením na teplárnu, v suterénu byla vybudována nová vımìníková stanice. Byla provedena celková rekonstrukce domu vèetnì vımìny oken a dveøí, novıch podlah, všech instalací a novıch zaøizovacích pøedmìtù. Fasáda do ulice nebyla zateplena z dùvodu štukové vızdoby. Stavební úpravy dvorního domu spoèívaly v opravì a zateplení fasády, vımìnì oken a nové konstrukci pavlaèí. Celkem je v objektu 28 bytovıch jednotek."
;"Pøírodovìdecké digitárium - návštìvnické centrum";Kultura;49.2043447;16.5841383;"Kraví hora 522/2, 616 00 Brno-Veveøí";http://www.hvezdarna.cz/wp-content/uploads/Digitarium_publicita.pdf;51383923;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;12/2011;11/2013;"Statutární mìsto Brno";
;"Infrastruktura pro doktorské studium ESF MU";"Vzdìlání, vìda, vızkum a inovace";49.1935014;16.5774481;"Lipová 507/41a, 602 00 Brno-Pisárky";http://www.econ.muni.cz/fakulta/rozvojove-projekty/projekty-z-op-na-esf/infrastruktura-pro-doktorske-studium-esf-mu;51999621;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;12/2011;03/2013;"Masarykova univerzita";"Cílem projektu byla kompletní rekonstrukce Støediska vìdeckıch informací/knihovna (SVI) za úèelem zvıšení její nedostateèné kapacity, vytvoøení podmínek pro nerušené samostudium a modernizaci infrastruktury pro vıuku studentù doktorského studia za úèelem realizace jejich vìdecko-vızkumnıch aktivit. V rámci projektu došlo k vybavení prostor knihovny a dalších èástí fakulty moderní technikou a technologickou infrastrukturou pro podporu vìdy a vızkumu, zavedení infoboxù pro snadnı pøístup k digitálním informacím z komunikaèních i studijnì-odpoèinkovıch zón prostoru knihovny i dalších èástí fakulty (studijnì-odpoèinkové zóny mimo hlavní prostory knihovny). V rámci inovace došlo také k vytvoøení prostorovıch, komunikaèních a informaèních podmínek pro tımovou vìdeckou práci studentù graduálního a doktorského studia pøi øešení vìdecko-vızkumnıch zámìrù a manaerské simulaèní hry. Projekt podporuje inovaci a vznik nové infrastruktury pro vıuku na vysoké škole, spojenou s vızkumem a v pøímém dùsledku zvyšuje kvalitu lidskıch zdrojù ve vìdì a vızkumu. Také má vıznamnı vliv na zvıšení pøipravenosti absolventù pro praxi."
;"Revitalizace pøírodní památky Holásecká jezera";"Vzhled mìsta a veøejná prostranství";49.1458336;16.6434994;"Brnìnské Ivanovice a Holásky - Brno-Tuøany";http://www.brno.cz/fileadmin/user_upload/sprava_mesta/magistrat_mesta_brna/OZP/USES/Holasecka_jezera_poster.pdf;58900000;"Pøíprava a realizace";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Tuøany;04/2013;doposud;"Statutární mìsto Brno";"Revitalizace bude rozdìlena do dvou èástí – investièní a neinvestièní. Neinvestièní èást byla zamìøena na  kácecí práce, které probìhly bìhem podzimu 2012. Investièní akce jsou naplánovány do budoucna. Budou spoèívat v úpravì propustkù a dalších technickıch zaøízení, ve vybudování litorálù a takté bude v malé míøe manipulováno se sedimenty."
;"Domov pro seniory Foltınova 21 – odstranìní bariér a zvıšení lùkové kapacity";"Vzhled mìsta a veøejná prostranství";49.2157775;16.5067392;"Foltınova 1008/21, 635 00 Brno-Bystrc";http://www.fol.brno.cz/index.php?nav01=7918;52834380;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Bystrc;08/2014;03/2015;"Statutární mìsto Brno";"V rámci projektu byla provedena pøístavba nového evakuaèního vıtahu, vımìna stávajícího velkého osobního a nákladního vıtahu za evakuaèní a vımìna pìti stávajících zastaralıch vıtahù za nové, které umoòují pøímı vıstup do exteriéru bez pøekonávání schodišovıch stupòù. Všechny vıtahy jsou bezbariérové. Dále bylo v domovì vybudováno nové samostatné oddìlení se zvláštním reimem. Projekt umonil i vybudování kuchynì, která zajišuje celodenní stravu pro klienty domova, take ji není nutné jídlo dováet a souèasnì vzrostla kvalita nabízené stravy."
;"Vila Löw Beer (Obnova secesní památky)";Kultura;49.2060681;16.6135758;"Drobného 297/22, 602 00 Brno-Èerná Pole";http://loew-beer.muzeumbrnenska.cz/;55469930;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Sever;05/2013;12/2014;"Jihomoravskı kraj";"Projekt se zabıval obnovou kulturní secesní památky Löw-Beerovy vily v Brnì na ulici Drobného 22 a jejím zpøístupnìním pro potøeby cestovního ruchu s nabídkou expozice o vıznamnıch památkách brnìnské architektury, zejména pak v autentické souvislosti s historií vily Tugendhat. Vıstupem projektu je vybudovaná muzejní expozice, knihovna s èítárnou, prostor pro vıstavy a zázemí pro návštìvníky vè. zázemí pro personál objektu. Realizace projektu spoèívala v provedení stavebních prací obnovy objektu a vybudování expozic a vybavení interiérù. Vzniklo 18 novıch pracovních míst."
;"Revitalizace mìstskıch parkù - II. etapa";"Vzhled mìsta a veøejná prostranství";49.1988494;16.6113628;"Milady Horákové, 602 00 Brno-støed";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?id=109461;51668064;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;07/2012;11/2013;"Statutární mìsto Brno";"Projekt Revitalizace mìstskıch parkù, II. etapa byl zamìøen na zlepšení stavu mìstskıch parkù oznaèenıch jako Kolištì II a Kolištì III. Zlepšení stavu parkù bylo dosaeno jejich revitalizací resp. rekonstrukcí vybranıch architektonickıch prvkù, doplnìním ploch pro trávení volného èasu vèetnì vhodného mobiliáøe a rozsáhlımi vegetaèními úpravami. Na ploše Kolištì II byl pøedevším opraven areál pomníku Rudé armády a upraveno jeho okolí. Souèasnì zde byly provedeny úpravy pøerostlé a místy pøehuštìné vegetace. Cílem projektu Revitalizace mìstskıch parkù, II. etapa bylo zvıšení pobytové pohody v bezprostøední návaznosti na centrum Brna. Díky realizaci tohoto projektu bude posílena konkurenceschopnost Brna na poli cestovního ruchu."
;"Vızkumná infrastruktura Mendelovy univerzity v Brnì";"Vzdìlání, vìda, vızkum a inovace";49.2101042;16.6164519;"Zemìdìlská 1665/1, 613 00 Brno-Èerná Pole";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?id=118937;57276187;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Sever;01/2014;06/2015;"Mendelova univerzita";"Modernizací èásti areálu MENDELU v Útìchovì došlo ke kvalitnìjšímu propojení vızkumné a vıukové èinnosti zejména na Lesnické a døevaøské fakultì MENDELU (LDF) – v objektu vznikly nejmodernìjší laboratoøe, praktická uèebna i kanceláøe pro vızkumné pracovníky. Dokonèením projektu vznikly kvalitní podmínky pro realizaci špièkové vìdecké èinnosti v oblasti lesnictví a døevaøství a její propojení s vıukou vèetnì praktickıch demonstrací a zapojení studentù do vìdecké odborné èinnosti. To souèasnì umoní více se zapojovat do národní i nadnárodní spolupráce, do evropskıch sítí a do vızkumnıch programù podporovanıch z evropskıch zdrojù."
;"Transfer technologií na Masarykovì univerzitì";"Vzdìlání, vìda, vızkum a inovace";49.1968203;16.6026764;"Komenského námìstí 220/2, 602 00 Brno";http://www.ctt.muni.cz/;60274343;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;06/2012;06/2015;"Masarykova univerzita";"Zvıšit šance na uplatnìní vìdeckıch vısledkù v praxi umoní projekt Centra pro transfer technologií Masarykovy univerzity (CTT MU), na kterı univerzita získala 55 milionù korun z Operaèního programu Vızkum a vıvoj pro inovace. Cílem pracovištì je zprofesionalizovat podporu vızkumníkù pøi hledání konkrétního uplatnìní vıstupù vìdecké èinnosti a rozšíøit poèet klientù, jim centrum poskytuje své odborné sluby."
;"Rekonstrukce Zelného trhu";"Vzhled mìsta a veøejná prostranství";49.1923406;16.6088372;"Zelnı trh, 602 00 Brno-Støed";https://www.brno.cz/doprava/zelnytrh/;66900000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;04/2014;05/2015;"Statutární mìsto Brno";"Historické námìstí Zelnı trh se bìhem jednoho roku promìnil v tradièní odpoèinkovou zónu, kde si lidé nejenom nakoupí ovoce a zeleninu, ale mohou se zde také zastavit, odpoèinout si a posedìt. V rámci rekonstrukce celého prostoru zde byly vysázeny nové stromy (17 ks), došlo k opravì historické kašny Parnas. Ale nejenom to. Novì byly vytvoøeny vodní prvky – fontány – pøed Moravskım zemskım muzeem. Samozøejmostí je instalace lavièek, odpadkovıch košù a stojanù na kola. Plocha celého námìstí byla novì zpevnìna. Souèástí rekonstrukce byla také instalace tøí podzemních kontejnerù na separovanı odpad, a to v ústí do ulice Starobrnìnské. Na námìstí se zmìnil systém parkování."
;"Sportovní areál lokalita Hnìvkovského";Sport;49.1691286;16.6269200;"Hnìvkovského, 617 00 Brno-JIh";http://www.brnonakole.cz/wordpress/wp-content/uploads/Sportoviste_Hnevkovskeho_publicita.pdf;67300000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Jih;01/2013;11/2013;"Statutární mìsto Brno";"Cílem projektu bylo rozšíøení infrastruktury pro rekreaèní sport na území Mìstské èásti Brno-Jih. Souèástí projektu bylo vybudování lávky pøes Svratku, která spojila ji existující cyklostezky na obou bøezích øeky. Celková délka lávky je 60,4 m. Pøestavbou bıvalé kotelny vznikl Sportovní klub, ve kterém byla vybudována vnitøní lezecká stìna vèetnì zázemí pro uivatele. Na komín bylo vybudováno schodištì a venkovní lezecká stìna. Skatepark byl umístìn vıchodnì od Sportovního klubu, plocha i jednotlivé prvky byly vytvoøeny z betonu. Areál tenisovıch høiš zahrnuje tøi tenisové kurty, jejich povrch byl tvoøen umìlım trávníkem a høištì bylo vybaveno veøejnım osvìtlením. Dále bylo vybudováno multifunkèní høištì s umìlım povrchem."
;"Dopravní telematika ve mìstì Brnì - 1. èást";"Podpora dopravy";49.1833072;16.6021300;"Renneská tøída 787/1a, 639 00 Brno-Štıøice";http://www.brno.cz/brno-aktualne/tiskovy-servis/tiskove-zpravy/dopravni-telematika-ve-meste-cast-1-a-2/;64755294;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;Brno-Støed;09/2013;03/2015;"Statutární mìsto Brno";"Cílem projektu Dopravní telematika ve mìstì Brnì – 1. èást bylo vytvoøení dopravnì-telematického systému na silnièní síti na území mìsta Brna prostøednictvím aplikace inteligentních dopravních systémù a slueb, zejména s ohledem na zkvalitnìní slueb veøejné dopravy a poskytování aktuálních dopravních informací veøejnosti. Navrenı systém dopravní telematiky je sloen z nìkolika ucelenıch oblastí: rozvoj preference MHD v rámci vıstavby a rekonstrukce svìtelnıch signalizaèních zaøízení, sbìr dopravních dat strategického vıznamu a rozšíøení pøenosovıch cest pro øízení dopravy a poskytování informací."
;"Oddìlení stálé chirurgické a úrazové sluby Úrazové nemocnice v Brnì - rekonstrukce a pøístavba";"Vzdìlání, vìda, vızkum a inovace";49.1976861;16.6152753;"Ponávka 139/6, 602 00  Brno-Zábrdovice";http://www.brno.cz/brno-aktualne/tiskovy-servis/tiskove-zpravy/nova-emergency-za-300-dni/;76941449;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;10/2014;05/2015;"Statutární mìsto Brno";"Na pøelomu mìsícù záøí a øíjna 2014 byla v Úrazové nemocnici Brno zahájena stavba nového oddìlení. Emergency neboli Oddìlení stálé chirurgické a úrazové sluby tzv. OSCHÚS je nedílnou souèástí Úrazové nemocnice Brno a poskytuje okamité a komfortní ošetøení pacienta kvalifikovanım personálem v novém prostøedí. OSCHÚS ošetøuje akutní úrazové stavy èi akutní chirurgická onemocnìní. Stavba OSCHÚS je umístìna v 1. NP a 2. NP budovy Ponávka 6 a dále v pøístavbì této budovy. Souèástí celé investièní akce bylo zbudování nového centrálního vjezdu s vrátnicí, vybudování nového prùjezdu do vnitrobloku nemocnice mezi budovami Ponávka 6 a Kolištì 43 a nového vstupu do objektu Ponávka 6 a souèasnì tak do provozu OSCHÚS. Vısledné architektonické a dispozièní øešení a úprava provozu areálu a jednotlivıch objektù citlivì a efektivnì zaèleòuje OSCHÚS do Úrazové nemocnice v Brnì a vytváøí tak jednotnı dobøe fungující celek."
;"Stavební úpravy a nástavba bytového domu Francouzská 42";"Vzhled mìsta a veøejná prostranství";49.2018569;16.6200183;"Francouzská 376/42, 602 00 Brno-Zábrdovice";https://www.brno.cz/fileadmin/user_upload/sprava_mesta/magistrat_mesta_brna/OIEF/Projekty_realizace/Stavebni_upravy_Francouzska_42_publicita.pdf;68854568;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Sever;08/2014;10/2015;"Statutární mìsto Brno";"Projekt je souèástí Integrovaného plánu rozvoje mìsta, jeho hlavním cílem je zlepšení estetické a sociální stránky bydlení ve vymezené „problémové zónì“ mìsta Brna. Tato zóna se nachází na èásti území mìstskıch èástí Brno-Støed a Brno-Sever a zahrnuje èásti ulic Stará, Francouzská, Hvìzdova, Pøadlácká, Spolková, Cejl, Soudní, Körnerova a Bratislavská. Cílem projektu byla rekonstrukce znaènì amortizovaného a pøedevším hygienicky nevyhovujícího pavlaèového domu. Pøestavbou získaly bytové jednotky nové urèení – slouí sociálnì slabším obyvatelùm. Byly vybudovány nové vstupní prostory s vrátnicí a nová schodišová hala s vıtahem zajišujícím bezbariérovı provoz. Pøestavba byla koncipována tak, aby byla vìtšina stávajících nosnıch prvkù zachována. Podlaí západního dvorního køídla zùstalo stávající, krov a pultová støecha nad touto èástí objektu byla repasována. Sedlová støecha nad západním ulièním køídlem byla demontována. Objekt byl v této èásti nastaven o dvì nová podlaí. V objektu je po rekonstrukci celkem 39 bytovıch jednotek."
;"Chovánek - kojeneckı ústav a dìtskı domov ";"Vzhled mìsta a veøejná prostranství";49.2207833;16.5073222;"Vejrostova 1361/8, 635 00  Brno-Bystrc";http://www.chovanek.cz/;72000000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Bystrc;09/2010;03/2012;"Statutární mìsto Brno";"Celková kapacita nového dìtského centra rodinného typu Chovánek je 60 dìtí v dìtském centru (0 – 3 roky) a 22 dìtí v zaøízení pro dìti vyadující okamitou pomoc (0 – 18 let). V Chovánku dìti nalézají novı domov, kterı je moderní a útulnı. Kromì tìce zdravotnì postienıch dìtí a novorozencù, kteøí potøebují zvláštní péèi, bydlí všechny dìti v jedenácti malıch „byteècích“, kde se o nì starají jejich „tety“. Souèástí areálu je i pìkná zahrada, kde dìti tráví svùj volnı èas. Dìti ijí v malıch skupinkách a péèi zajišuje odbornı personál, pediatr, zdravotní sestry, vychovatelky, sanitárky, vıchovné sestry, psycholog, speciální pedagog a další. Je kladen dùraz na to, aby dìti v tomto zaøízení ily podobnì jako v rodinì."
;"Beringie - ZOO Brno";Kultura;49.2301156;16.5333919;"U zoologické zahrady 147/46, 635 00 Brno – Bystrc";http://beringie.zoobrno.cz/vznik-komplexu.html;80596672;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Bystrc;11/2008;03/2011;"Statutární mìsto Brno";"Cílem projektu bylo pøilákat do brnìnské Zoo více návštìvníkù prostøednictvím zvıšení atraktivity expozic. Napøíklad otevøení vıbìhu vlkù a bobrù kanadskıch v roce 2004 zapøíèinilo nárùst poètu návštìvníkù o 30 000, projekt Beringie je mnohem atraktivnìjší, proto lze oèekávat nárùst poètu návštìvníkù v prvních letech provozu projektu o 50 000 osob. V rámci projektu byly vybudovány nové unikátní expozice zvíøat z oblasti Beringovy úiny. Tato komplexní expozice láká pøedevším ojedinìlostí nauènì dobrodrunıch stezek, které návštìvníky zavedou dovnitø pøírodního prostøedí, kde budou obklopeni zvíøaty a vtaeni do dìje. Areál tím poskytuje nové neèekané pohledy na ivot zvíøat a navozuje nejen atmosféru pøirozeného ivotního prostøedí druhu, ve kterém lze dané zvíøe skuteènì spatøit, ale má i vıchovnı podtext."
;"VAVINET Informaèní infrastruktura center vızkumu a vıvoje";"Vzdìlání, vìda, vızkum a inovace";49.2016439;16.6038481;"Antonínská 548/1, 602 00 Brno";http://www.vutbr.cz/cvis/vavinet;81709575;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;05/2011;10/2013;"Vysoké uèení technické v Brnì";"Cílem projektu bylo vybudování komplexní informaèní infrastruktury pro vızkum a technologickı rozvoj vèetnì zaøízení, nástrojù a vysokorychlostních poèítaèovıch sítí propojujících vızkumná pracovištì. Pro vìtšinu moderních vızkumnıch pracovníkù se stal poèítaè a práce v síti klíèovım pracovním nástrojem pro multimediální komunikaci, získávání a publikování znalostí, provádìní vıpoètù, simulací, virtuálních experimentù a zpracování dat z pøístrojù. V neposlední øadì jsou servery vyuívány k vizualizaci, která pomáhá pochopit, øídit i publikovat jinak sloité vısledky vızkumu a vıvoje. V rámci projektu VAVINET došlo k posílení optické sítì, vybavení klíèovıch uzlù optické sítì síovımi aktivními prvky a datovıch sálù technickım vybavením. V tomto období byly zakoupeny sdílené servery pro spoleèné èinnosti provozu projektù vìdy, vızkumu a inovací a byl zakoupen a instalován potøebnı software. V neposlední byly zajištìny sluby provozu a rozvoje informaèních systémù pro vìdu a vızkum."
;"ROKLE - centrální park mìstské èásti Brno-Líšeò";"Vzhled mìsta a veøejná prostranství";49.2082606;16.6800583;Brno-Líšeò;https://www.brno-lisen.cz/job/detail/463?_fid=6345;82000000;"Pøíprava a realizace";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Líšeò;06/2014;06/2017;"Statutární mìsto Brno";"Pøedmìtné území se nachází v Líšni uprostøed panelové zástavby. Toto území má charakter rokle. Celková plocha øešeného území je 11 ha. Území rokle je díky uspoøádání terénu a svému umístìní v jádru sídlištì hodnotou, kterou se nemohou pochlubit jiná brnìnská sídlištì, území má potenciál  stát se centrálním parkem mìstské èásti. Z tohoto dùvodu rozhodlo Zastupitelstvo MÈ Brno-Líšeò souhlasit s vypracováním projektové dokumentace na regeneraci „Rokle“. Souèástí parku budou i dìtská høištì a sportovištì, sociální zaøízení, zázemí pro rodièe s dìtmi, kynologické høištì, amfiteátr atd. Samozøejmostí bude veøejné osvìtlení, parkové lavice, odpadkové koše, apod. Pamatováno je i na zahradní restauraci a podobná zaøízení, jejich vybudování bude spíše vìcí soukromıch investorù. V projektu je navreno i vybudování 4 malıch vodních nádrí s okrasnou funkcí. Celková plocha nádrí je asi 12 000m2. Návrh vodních prvkù vychází z vısledkù hydrogeologického prùzkumu, kterı zjistil podzemní vodu protékající støedem území rokle. Realizace projektu centrálního parku bude velmi finanènì nároèná a  z tohoto dùvodu mùe vıstavba parku bıt dlouhodobìjší záleitostí a také mùe dojít k jistım redukcím v realizaci."
